county,income,state,combine
apache,44505,az,apacheaz
cochise,55174,az,cochiseaz
coconino,67297,az,coconinoaz
maricopa,81501,az,maricopaaz
mohave,57530,az,mohaveaz
navajo,51447,az,navajoaz
pima,65881,az,pimaaz
pinal,65692,az,pinalaz
yavapai,65804,az,yavapaiaz
yuma,56872,az,yumaaz
adams,72296,pa,adamspa
allegheny,78027,pa,alleghenypa
armstrong,60137,pa,armstrongpa
beaver,69655,pa,beaverpa
berks,76779,pa,berkspa
blair,58867,pa,blairpa
bucks,106713,pa,buckspa
butler,88042,pa,butlerpa
cambria,57562,pa,cambriapa
carbon,63116,pa,carbonpa
centre,81724,pa,centrepa
chester,125605,pa,chesterpa
clearfield,58404,pa,clearfieldpa
columbia,64433,pa,columbiapa
crawford,61696,pa,crawfordpa
cumberland,82236,pa,cumberlandpa
dauphin,77859,pa,dauphinpa
delaware,95868,pa,delawarepa
erie,63819,pa,eriepa
fayette,56917,pa,fayettepa
franklin,77464,pa,franklinpa
indiana,59117,pa,indianapa
lackawanna,64366,pa,lackawannapa
lancaster,79344,pa,lancasterpa
lawrence,65697,pa,lawrencepa
lebanon,70452,pa,lebanonpa
lehigh,82854,pa,lehighpa
luzerne,64446,pa,luzernepa
lycoming,61228,pa,lycomingpa
mercer,64329,pa,mercerpa
monroe,76141,pa,monroepa
montgomery,113622,pa,montgomerypa
northampton,83297,pa,northamptonpa
northumberland,59110,pa,northumberlandpa
philadelphia,60857,pa,philadelphiapa
schuylkill,60421,pa,schuylkillpa
somerset,56742,pa,somersetpa
washington,78066,pa,washingtonpa
westmoreland,72166,pa,westmorelandpa
york,75945,pa,yorkpa
clark,72277,nv,clarknv
washoe,81564,nv,washoenv
alamance,60609,nc,alamancenc
brunswick,66132,nc,brunswicknc
buncombe,68923,nc,buncombenc
burke,51815,nc,burkenc
cabarrus,78726,nc,cabarrusnc
caldwell,50001,nc,caldwellnc
carteret,64471,nc,carteretnc
catawba,65599,nc,catawbanc
chatham,94054,nc,chathamnc
cleveland,50519,nc,clevelandnc
craven,67148,nc,cravennc
cumberland,57267,nc,cumberlandnc
davidson,59441,nc,davidsonnc
durham,77836,nc,durhamnc
forsyth,73006,nc,forsythnc
gaston,69661,nc,gastonnc
guilford,69367,nc,guilfordnc
harnett,62276,nc,harnettnc
henderson,68263,nc,hendersonnc
iredell,79750,nc,iredellnc
johnston,65036,nc,johnstonnc
lincoln,67290,nc,lincolnnc
mecklenburg,89684,nc,mecklenburgnc
moore,72904,nc,moorenc
nash,64941,nc,nashnc
new hanover,70803,nc,new hanovernc
onslow,56900,nc,onslownc
orange,94564,nc,orangenc
pitt,62944,nc,pittnc
randolph,55496,nc,randolphnc
robeson,47961,nc,robesonnc
rockingham,50217,nc,rockinghamnc
rowan,62377,nc,rowannc
rutherford,46400,nc,rutherfordnc
surry,59268,nc,surrync
union,98685,nc,unionnc
wake,100576,nc,wakenc
wayne,58296,nc,waynenc
wilkes,51346,nc,wilkesnc
wilson,60107,nc,wilsonnc
allen,60919,oh,allenoh
ashtabula,55721,oh,ashtabulaoh
athens,56230,oh,athensoh
belmont,62413,oh,belmontoh
butler,80568,oh,butleroh
clark,60848,oh,clarkoh
clermont,80677,oh,clermontoh
columbiana,59138,oh,columbianaoh
cuyahoga,69704,oh,cuyahogaoh
delaware,128117,oh,delawareoh
erie,73232,oh,erieoh
fairfield,81512,oh,fairfieldoh
franklin,75539,oh,franklinoh
geauga,98903,oh,geaugaoh
greene,82225,oh,greeneoh
hamilton,77511,oh,hamiltonoh
hancock,70192,oh,hancockoh
jefferson,56107,oh,jeffersonoh
lake,77742,oh,lakeoh
licking,77785,oh,lickingoh
lorain,74417,oh,lorainoh
lucas,63940,oh,lucasoh
mahoning,58567,oh,mahoningoh
marion,54192,oh,marionoh
medina,91442,oh,medinaoh
miami,70339,oh,miamioh
montgomery,65800,oh,montgomeryoh
muskingum,53368,oh,muskingumoh
portage,67436,oh,portageoh
richland,55670,oh,richlandoh
ross,62408,oh,rossoh
scioto,54291,oh,sciotooh
stark,66163,oh,starkoh
summit,70827,oh,summitoh
trumbull,60457,oh,trumbulloh
tuscarawas,58847,oh,tuscarawasoh
warren,105864,oh,warrenoh
wayne,64910,oh,wayneoh
wood,78726,oh,woodoh
adams,70474,il,adamsil
champaign,70900,il,champaignil
cook,86514,il,cookil
dekalb,75593,il,dekalbil
dupage,111236,il,dupageil
kane,96716,il,kaneil
kankakee,68588,il,kankakeeil
kendall,101320,il,kendallil
lake,119261,il,lakeil
lasalle,66763,il,lasalleil
mchenry,94250,il,mchenryil
mclean,82471,il,mcleanil
macon,62668,il,maconil
madison,73318,il,madisonil
peoria,71145,il,peoriail
rock island,65040,il,rock islandil
st. clair,73193,il,st. clairil
sangamon,73785,il,sangamonil
tazewell,74437,il,tazewellil
vermilion,56819,il,vermilionil
will,98688,il,willil
williamson,59894,il,williamsonil
winnebago,65234,il,winnebagoil
